Time,Inj Gas Meter Volume Instantaneous,Inj Gas Meter Volume Setpoint,Inj Gas Valve Percent Open,accumulated_sum,total_volume
10/14/2024 12:00:00 am,1467.3729,,,1467.3729,
10/14/2024 12:02:00 am,1466.604825,,,2933.9777249999997,
10/14/2024 12:04:00 am,1469.3316,1455.0,,4403.309325,
10/14/2024 12:06:00 am,1470.3357,1455.0,,5873.645025,
10/14/2024 12:08:00 am,1468.70685,1455.0,26.18433,7342.351875,5419.806230288813
10/14/2024 12:10:00 am,1460.9364,1455.0,26.18433,8803.288275,6498.206222222693
10/14/2024 12:12:00 am,1470.5415,1455.0,26.18433,10273.829775,7583.696283075743
10/14/2024 12:14:00 am,1463.54265,1455.0,26.18433,11737.372425,8664.020095908998
10/14/2024 12:16:00 am,1468.5693,1455.0,26.18433,13205.941725,9748.054364118309
10/14/2024 12:18:00 am,1466.0652,1455.0,26.18433,14672.006925000002,10830.240214135149
10/14/2024 12:22:00 am,1466.14275,1455.0,26.18433,16138.149675,11912.483308204073
10/14/2024 12:24:00 am,1468.08645,1455.0,26.18433,17606.236125,12996.161157450788
10/14/2024 12:26:00 am,1469.53065,1455.0,26.18433,19075.766775,14080.905052603643
10/14/2024 12:28:00 am,1471.30965,1455.0,26.18433,20547.076425,15166.962128525796
10/14/2024 12:30:00 am,1473.05655,1455.0,26.18433,22020.132975,16254.308690387183
10/14/2024 12:32:00 am,1470.72885,1455.0,26.18433,23490.861825,17339.93704489798
10/14/2024 12:34:00 am,1476.54,1455.0,26.18433,24967.401825,18429.854938715976
10/14/2024 12:36:00 am,1471.85835,1455.0,26.18433,26439.260175,19516.317041219423
10/14/2024 12:38:00 am,1478.62185,1455.0,26.18433,27917.882025,20607.771666563316
10/14/2024 12:40:00 am,1475.46225,1455.0,26.18433,29393.344275,21696.89401199789
10/14/2024 12:42:00 am,1474.970025,1455.0,26.18433,30868.3143,22785.65301825081
10/14/2024 12:46:00 am,1471.2525,1455.0,26.18433,32339.566799999997,23871.667908517556
10/14/2024 12:48:00 am,1469.8339500000002,1455.0,26.18433,33809.40075,24956.635686597525
10/14/2024 12:50:00 am,1471.3899499999995,1455.0,26.18433,35280.7907,26042.752036502687
10/14/2024 12:52:00 am,1471.9224,1455.0,26.18433,36752.7131,27129.26141794277
10/14/2024 12:54:00 am,1478.9943,1455.0,26.18433,38231.7074,28220.99096974958
10/14/2024 12:56:00 am,1468.42935,1455.0,26.18433,39700.13675,29304.921932928723
10/14/2024 12:58:00 am,1474.1958,1455.0,26.18433,41174.33255,30393.109439810585
10/14/2024 1:00:00 am,1477.5744,1455.0,26.18433,42651.90695,31483.790882919064
10/14/2024 1:02:00 am,1473.17325,1455.0,26.18433,44125.0802,32571.223587667337
